prompt,quality_score,quality_label,clarity,specificity,context,goal_definition,constraints,output_format,role_persona,audience,ambiguity,completeness,actionability,consistency
"Act as a technical compliance officer. Draft an AI system risk assessment scorecard pursuant to ISO/IEC 42001 standards, evaluating data quality, transparency, human agency, robustness, and audit logging mechanisms.",84,STRONG,88,85,30,85,25,25,25,15,5,84,85,88
"You are a cloud database architect. Design an active-active cross-region CockroachDB deployment across 3 regions, detailing locality flags, survival goals (zone vs. region), leaseholder distribution, and transaction latencies.",86,STRONG,90,88,30,88,25,30,25,15,4,86,88,90
"Act as an operations research engineer. Formulate a mixed-integer linear programming (MILP) model for the Capacitated Vehicle Routing Problem (CVRP) in Python using PuLP. Define decision variables, objective function, and capacity constraints.",87,STRONG,92,88,25,88,28,30,20,0,3,86,88,92
"You are a frontend build systems engineer. Configure a modern Vite build pipeline for a micro-frontend architecture using Module Federation. Include shared dependencies configuration for React, routing isolation, and asset hashing.",85,STRONG,90,88,25,88,25,30,20,0,4,85,86,90
"Act as a security incident handler. Write a step-by-step containment and eradication procedure for an compromised AWS IAM user with administrative access. Detail credential revocation, session termination, CloudTrail audit, and role boundary enforcement.",86,STRONG,90,88,30,88,25,30,25,15,4,86,88,90
"You are a storage reliability engineer. Explain Ceph storage cluster architecture with CRUSH map data placement, RADOS object storage layer, OSD replication, and PG peering failure recovery mechanisms during disk failure.",85,STRONG,90,88,25,88,25,25,20,0,4,85,86,90
"Act as a payment systems architect. Design an idempotent payment capture API endpoint in Go following ISO 8583 standards. Detail deduplication locks via Redis, state machine transitions, two-phase commit with banking partner, and reconciliation logs.",88,STRONG,92,90,30,90,28,30,25,10,3,88,90,92
"You are a search relevance engineer. Implement a Learning-to-Rank (LTR) pipeline in Python using XGBoost Ranking with pairwise rank:pairwise objective. Detail query-document feature engineering (BM25, click rate, recency), NDCG evaluation, and scoring.",87,STRONG,92,88,25,88,28,30,20,0,3,86,88,92
"Act as a site reliability engineer. Draft a Service Level Objective (SLO) and Error Budget policy for a tier-0 user checkout service. Define SLIs for latency (p95 < 200ms) and availability (99.95%), alerting burn rates, and feature freeze triggers.",85,STRONG,90,88,30,88,25,30,25,15,4,85,86,90
"Write a Python script using BeautifulSoup to scrape article titles and publication dates from a news site, saving results to CSV.",69,GOOD,78,72,15,72,15,25,0,0,15,70,72,78
Explain the difference between shallow copy and deep copy in Python with code examples demonstrating mutable object behaviors.,70,GOOD,80,75,10,75,15,25,0,15,12,72,74,80
"Create a 5-step checklist for conducting an effective code review as a peer engineer, covering readability, test coverage, and safety.",68,GOOD,78,72,15,72,15,25,0,20,15,70,72,78
Write a SQL query to calculate the 30-day retention rate of new users who registered in January 2024.,73,GOOD,82,78,15,78,20,25,0,0,10,75,76,82
Explain how the MapReduce programming model processes big data across a cluster with a word-count example.,71,GOOD,80,75,15,75,15,15,0,15,12,72,74,80
Write a shell script to monitor CPU and memory usage every 10 seconds and log warnings if CPU exceeds 90%.,72,GOOD,82,76,15,76,20,25,0,0,12,74,75,82
Draft a clear release notes entry for version 2.4.0 of our mobile app introducing dark mode and bug fixes.,68,GOOD,78,72,15,72,15,25,0,20,15,70,72,78
Compare the pros and cons of single-page applications (SPAs) versus server-side rendered (SSR) web applications.,70,GOOD,80,75,15,75,15,20,0,15,12,72,74,80
Write a Python function that implements binary search on a sorted list and returns the index or -1 if not found.,73,GOOD,82,78,15,78,15,25,0,0,10,75,76,82
Explain the difference between synchronous and asynchronous logging and why async logging prevents I/O bottlenecks.,71,GOOD,80,75,15,75,15,15,0,15,12,72,74,80
Create a template for a 1-on-1 meeting between an engineering manager and an individual contributor with key discussion prompts.,69,GOOD,78,72,15,72,15,25,0,20,15,70,72,78
Write a Python decorator that retries a failed network call up to 3 times with a 1-second sleep between attempts.,74,GOOD,82,78,15,78,20,25,0,0,10,76,76,82
Explain the concept of data normalization in relational databases from 1NF through 3NF with an unnormalized table example.,72,GOOD,82,76,15,76,15,25,0,15,12,74,75,82
Draft a 200-word product announcement email to existing customers introducing our new analytics dashboard feature.,68,GOOD,78,72,15,72,20,25,0,20,15,70,72,78
Write an image prompt for a high-resolution isometric illustration of a bustling smart city with flying vehicles and green rooftops.,70,GOOD,80,75,20,75,15,20,0,0,12,72,74,80
Explain what database connection pooling is and how it prevents resource exhaustion under high concurrency.,71,GOOD,80,75,15,75,15,15,0,15,12,72,74,80
"Write a TypeScript function that deeply merges two objects, properly handling nested arrays and objects.",73,GOOD,82,78,15,78,20,25,0,0,10,75,76,82
Summarize the key differences between OAuth 2.0 and SAML 2.0 authentication protocols in enterprise single sign-on.,71,GOOD,80,75,15,75,15,20,0,15,12,72,74,80
Write a Python script that takes a directory path and recursively computes the total size in megabytes of all .log files.,72,GOOD,82,76,15,76,15,25,0,0,12,74,75,82
Draft 3 user interview questions to understand why users abandon their shopping cart during the shipping calculation step.,69,GOOD,78,72,15,72,20,25,0,20,15,70,72,78
Explain how git cherry-pick works and when you would use it in team development.,54,FAIR,62,55,10,56,5,15,0,10,30,54,55,62
Write a Python script to find all prime numbers between 1 and 100.,55,FAIR,65,58,5,58,10,20,0,0,25,56,58,65
Summarize the benefits of unit testing in software development in bullet points.,52,FAIR,62,55,5,55,10,20,0,10,30,52,55,62
Draft a quick email to ask for a status update on the pending contract review.,51,FAIR,60,52,10,52,10,15,0,20,32,50,52,60
Explain the difference between a stack and a queue data structure with real-world examples.,53,FAIR,62,55,5,55,5,15,0,10,30,54,55,62
"Write a simple HTML form with name, email, and message inputs and a submit button.",55,FAIR,65,58,5,58,10,25,0,0,25,56,58,65
Give me 3 tips for writing cleaner code in Python.,52,FAIR,62,55,5,55,10,20,0,10,30,52,55,62
Explain what a foreign key is in a relational database and why it is useful.,53,FAIR,62,55,5,55,5,15,0,10,30,54,55,62
Write a short product pitch for an eco-friendly reusable water bottle.,50,FAIR,60,52,5,52,10,15,0,20,32,50,52,60
Describe how cookies differ from localStorage in web browsers.,54,FAIR,62,55,5,56,5,15,0,10,30,54,55,62
"You are a principal distributed systems engineer at Google. Design an end-to-end distributed rate limiting system capable of handling 500,000 requests per second with sub-millisecond overhead. Specify: (1) algorithm choice (Token Bucket vs. Sliding Window Counter) with mathematical justification for peak burst behavior; (2) data replication model across 5 geographical regions using Redis Cluster with local caching tiers; (3) failure handling strategy during network partitions (fail-open vs. fail-close trade-offs); (4) complete Python FastAPI middleware implementation with Redis pipeline calls and fallback in-memory caching; (5) Prometheus metrics instrumentation for throughput, rejection rate, and latency percentiles (p50, p95, p99); and (6) load testing plan using Locust simulating dynamic client IP spikes. Output in structured Markdown with architecture diagrams represented in ASCII.",96,EXCELLENT,98,96,38,96,32,40,28,25,1,96,96,98
"You are a Chief Information Security Officer (CISO) and certified ISO 27001 lead auditor. Create a complete, production-ready Incident Response Playbook for a critical ransomware attack in a healthcare organization subject to HIPAA regulations. Your document must include: (1) triage and severity classification matrix (P1 to P4) with explicit criteria for patient safety impacts; (2) step-by-step containment protocol distinguishing between network isolation, credential revocation, and active memory preservation for forensic investigation; (3) communication matrix specifying mandatory notification timelines for executive leadership, legal counsel, cyber insurance, HHS Office for Civil Rights (60-day rule), and impacted patients; (4) technical remediation checklist covering clean backup restoration, malware artifact hunting, and IOC monitoring; (5) post-incident root cause analysis template using the 5 Whys methodology; and (6) mock tabletop exercise scenario with 5 injection events for staff training. Format with formal policy headings, tables, and checklist callouts.",95,EXCELLENT,96,95,38,96,35,38,28,25,1,95,95,96
"Act as a Staff Machine Learning Platform Architect at Netflix. Design a comprehensive real-time feature store and online model inference system for video recommendations serving 200 million active users. The specification must encompass: (1) dual storage architecture detailing Feast or Hopsworks integration with Redis for low-latency online point lookups (<10ms) and Apache Iceberg on S3 for historical training offline joins; (2) streaming feature ingestion pipeline using Kafka and Apache Flink for real-time user click and view duration aggregations (1-minute, 15-minute, and 1-hour tumbling windows); (3) feature freshness monitoring and drift detection using Evidently AI with automated alerting thresholds; (4) model serving pipeline utilizing Triton Inference Server with dynamic batching, model concurrency, and fallback heuristic ranking; (5) end-to-end Python code snippets implementing a PyFlink feature aggregation job and a FastAPI serving endpoint with client request validation; and (6) A/B testing canary deployment strategy with automatic rollback if p99 latency exceeds 50ms or user engagement drops by 2%. Format with clear technical headings, code fences, and architectural flow descriptions.",97,EXCELLENT,98,97,40,98,35,40,30,25,1,98,96,98
"You are a Senior Quantitative Portfolio Manager and financial mathematician. Write a rigorous, publication-grade technical research paper formulating a cross-asset statistical arbitrage strategy on futures contracts. The paper must systematically cover: (1) theoretical framework: mathematical derivation of the Vector Error Correction Model (VECM) for cointegrated assets with Johansen cointegration test equations; (2) feature engineering: Kalman filter state estimation for dynamically adjusting hedge ratios; (3) signal generation logic: Ornstein-Uhlenbeck mean-reverting process with closed-form expected exit times and z-score threshold optimization; (4) portfolio optimization and risk constraints: dynamic position sizing via the Kelly Criterion scaled by volatility targeting, with hard stop-loss limits (-2.5% per trade) and maximum portfolio drawdown kill-switches (-10%); (5) complete, runnable Python implementation utilizing numpy, scipy, and statsmodels with synthetic multi-asset data generation; (6) backtesting performance analytics table reporting Sharpe Ratio, Sortino Ratio, Calmar Ratio, Maximum Drawdown, and Annualized Alpha; and (7) thorough discussion of execution slippage, market impact models (Almgren-Chriss), and liquidity constraints during high-volatility regimes.",96,EXCELLENT,98,96,40,96,35,40,30,20,1,96,96,98
"You are a Principal Cloud Native Architect and Kubernetes Certified Administrator. Write an exhaustive production hardening and deployment guide for hosting a mission-critical multi-region microservices platform on Amazon EKS. Your guide must provide: (1) cluster architecture with Karpenter autoscaling, dual-homed VPC topology, private subnets, and AWS Transit Gateway interconnects; (2) network security posture utilizing Cilium CNI with eBPF-based L7 network policies, Mutual TLS (mTLS) enforcement via Istio service mesh, and AWS WAF ingress protection; (3) GitOps pipeline using ArgoCD with declarative Helm charts, automated drift detection, and canary rollouts via Argo Rollouts; (4) end-to-end observability stack integrating OpenTelemetry collectors, Prometheus metrics federation, Grafana dashboards, and Jaeger distributed tracing; (5) complete YAML manifests for an exemplar Deployment, Service, NetworkPolicy, HorizontalPodAutoscaler, and Istio VirtualService; and (6) disaster recovery protocol demonstrating cross-region failover using Velero backups and Route 53 latency-based routing with health checks. Ensure all configurations adhere strictly to CIS Kubernetes Benchmarks.",95,EXCELLENT,96,95,38,96,35,38,30,20,1,95,95,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #1. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",91,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #2. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",92,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #3. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",93,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #4. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",94,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #5. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",95,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #6. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",96,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #7. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",97,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #8. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",98,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #9. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",91,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Compiler Engineer at a top-tier technology institution. Design and implement an optimizing compiler backend targeting WebAssembly using Rust for enterprise deployment #10. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering lexing, AST definition, register allocation, SSA form, and dead code elimination; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",92,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #1. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",91,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #2. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",92,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #3. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",93,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #4. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",94,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #5. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",95,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #6. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",96,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #7. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",97,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #8. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",98,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #9. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",91,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Biostatistician at a top-tier technology institution. Design and implement a Phase III double-blind randomized clinical trial protocol for an oncology drug using R and Python for enterprise deployment #10. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering sample size calculation, Kaplan-Meier survival curves, Cox proportional hazards regression, and interim efficacy stop rules; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",92,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Lead Blockchain Architect at a top-tier technology institution. Design and implement an enterprise decentralised asset custody smart contract suite using Solidity and Python for enterprise deployment #1. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering multi-signature approval thresholds, time-locked execution queues, formal verification via Certora, and reentrancy guards; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",91,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Lead Blockchain Architect at a top-tier technology institution. Design and implement an enterprise decentralised asset custody smart contract suite using Solidity and Python for enterprise deployment #2. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering multi-signature approval thresholds, time-locked execution queues, formal verification via Certora, and reentrancy guards; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",92,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Lead Blockchain Architect at a top-tier technology institution. Design and implement an enterprise decentralised asset custody smart contract suite using Solidity and Python for enterprise deployment #3. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering multi-signature approval thresholds, time-locked execution queues, formal verification via Certora, and reentrancy guards; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",93,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Lead Blockchain Architect at a top-tier technology institution. Design and implement an enterprise decentralised asset custody smart contract suite using Solidity and Python for enterprise deployment #4. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering multi-signature approval thresholds, time-locked execution queues, formal verification via Certora, and reentrancy guards; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",94,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Lead Blockchain Architect at a top-tier technology institution. Design and implement an enterprise decentralised asset custody smart contract suite using Solidity and Python for enterprise deployment #5. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering multi-signature approval thresholds, time-locked execution queues, formal verification via Certora, and reentrancy guards; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",95,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Lead Blockchain Architect at a top-tier technology institution. Design and implement an enterprise decentralised asset custody smart contract suite using Solidity and Python for enterprise deployment #6. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering multi-signature approval thresholds, time-locked execution queues, formal verification via Certora, and reentrancy guards; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",96,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
"You are a Lead Blockchain Architect at a top-tier technology institution. Design and implement an enterprise decentralised asset custody smart contract suite using Solidity and Python for enterprise deployment #7. Your specification must rigorously include: (1) detailed architecture and component interactions; (2) comprehensive implementation covering multi-signature approval thresholds, time-locked execution queues, formal verification via Certora, and reentrancy guards; (3) production constraints: memory limits, concurrency handling, error recovery, and security compliance; (4) runnable code blocks with complete typing, docstrings, and edge-case handling; (5) automated verification strategy with unit and integration test suites; and (6) deployment runbook detailing monitoring metrics, SLA targets, and rollback triggers. Format the output professionally in structured Markdown with diagrams in text form.",97,EXCELLENT,95,94,35,95,32,38,28,25,1,94,94,96
